


,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,

,Delta Report (Road Wise Summary),,,,,,,,,,,,,,,,,,


,,Details of Road Projects,,,,,Total Length (km),Balance Length (Kms),,Annual Target (Kms),,Target for Remaining Months (Kms),Target for Current Month (Kms),Progress in this FY (Kms),Progress in Current Month (Kms),Financial Expenditure (Cumulative) (In Lakhs),"Financial Expenditure 
(This FY)
(In Lakhs)","Financial Expenditure 
(This Month)
(In Lakhs)",Road Status
Sr No.,,Scheme,Name of the Road,Package_ID,District,Block,,,,,,,,,,,,,
,,Grand Total,,,,,529.201,256.378,,233.765,,218.481,4.68,15.284,4.6,838.32,838.32,42.92,
1,,PMGSY-I,Machhaila to Bhuna,BR0104,Araria,Joukihat,1.5,1.5,,1.5,,1.500,0,0,0,0.00,0.00,0.00,-
2,,PMGSY-I,L025-KANKHUDIA TO DOGACHHI (VR25),BR1R153,Araria,Palasi,3.922,0.022,,0.022,,0.022,0,0,0,0.00,0.00,0.00,-
3,,PMGSY-I, Koilwan More  -  Mauri,BR-02R-146,Aurangabad,Haspura,0.659,0.659,,0.659,,0.659,0,0,0,0.00,0.00,0.00,-
4,,PMGSY-I,Aurangabad Haspura Road  - Alpa via Madhepur,BR-02R-149,Aurangabad,Haspura,4.4,4.4,,4.4,,4.400,0,0,0,0.00,0.00,0.00,-
5,,PMGSY-I,L052-L045 TO SHIVA BIGHA VIA SOHA BIGHA (VR29),BR2R472,Aurangabad,Haspura,1.72,0.61,,0.61,,0.610,0,0,0,0.00,0.00,0.00,-
6,,PMGSY-I,T02-AURANGABAD TO BISHUNPUR (VR2) ,BR02R-748,Aurangabad,Deo,8,2.4,,2.4,,2.400,0,0,0,0.00,0.00,0.00,-
7,,PMGSY-I,L050-Belhar Deoghar Road To Saabaijor (VR50),BR03R371,Banka,Belhar,6.13,2.64,,2.64,,2.640,0,0,0,0.00,0.00,0.00,-
8,,PMGSY-I,L116-Bousi Mela Road Panda Tola to Upernima (TRACK116) ,BR03R420,Banka,Baunsi,2,0.945,,0.5,,0.500,0,0,0,0.00,0.00,0.00,-
