project_id,project_name,state,district,subdivision,block,project_type,contractor,je_incharge,ae_incharge,original_cost_cr,original_duration_months,elapsed_months,cumulative_expenditure_cr,physical_progress_pct,delayed_milestones_count,revisions_count,land_acquisition_risk_score,material_inflation_idx,planned_progress_pct,schedule_variance_pct,spend_burn_rate,cost_overrun_pct,time_overrun_months
BHR_SAH_2026_0001,Urban Storm Drainage & Flood Embankment Protection - Saharsa West Block (Saharsa),Bihar,Saharsa,Saharsa Sadar Sub-Division,Saharsa West Block,Urban Storm Drainage & Flood Embankment Protection,Bihar Dynamic Infra - Joint Venture,"Er. R. K. Singh (Site Camp, Saharsa West Block)","Er. M. P. Sinha (Div Office, Saharsa)",2328.5,36,26,899.85,28.2,2,3,8.4,114.4,72.2,-44.0,34.61,83.9,53.9
BHR_NAW_2026_0002,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Nawada West Block (Nawada),Bihar,Nawada,Nawada Sadar Sub-Division,Nawada West Block,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,Dilip Buildcon Ltd.,"Er. Manoj Tiwary (Site Camp, Nawada West Block)","Er. M. P. Sinha (Div Office, Nawada)",1609.49,45,19,315.24,21.7,5,0,3.1,136.3,42.2,-20.6,16.59,39.9,29.9
BHR_MAD_2026_0003,Railway Double Line & Track Electrification Work - Madhepura Rural Area (Madhepura),Bihar,Madhepura,Madhepura Rural Sub-Division,Madhepura Rural Area,Railway Double Line & Track Electrification Work,Dilip Buildcon Ltd.,"Er. S. N. Pandey (Site Camp, Madhepura Rural Area)","Er. M. P. Sinha (Div Office, Madhepura)",595.44,25,18,219.18,33.9,2,0,6.7,108.9,72.0,-38.1,12.18,39.0,31.9
BHR_SAR_2026_0004,Railway Double Line & Track Electrification Work - Saran (Chhapra) Rural Area (Saran (Chhapra)),Bihar,Saran (Chhapra),Saran (Chhapra) Rural Sub-Division,Saran (Chhapra) Rural Area,Railway Double Line & Track Electrification Work,Afcons Infrastructure,"Er. Vikash Kumar (Site Camp, Saran (Chhapra) Rural Area)","Er. Rajeshwar Prasad (Div Office, Saran (Chhapra))",315.08,57,24,83.58,26.2,3,0,8.2,110.2,42.1,-15.9,3.48,40.1,30.3
BHR_BEG_2026_0005,Railway Overbridge (ROB) & Flyover Construction - Begusarai Rural Area (Begusarai),Bihar,Begusarai,Begusarai Rural Sub-Division,Begusarai Rural Area,Railway Overbridge (ROB) & Flyover Construction,L&T Infrastructure Limited,"Er. Vikash Kumar (Site Camp, Begusarai Rural Area)","Er. Rajeshwar Prasad (Div Office, Begusarai)",572.92,24,12,236.18,39.3,0,0,5.1,129.9,50.0,-10.7,19.68,30.5,12.5
BHR_JEH_2026_0006,Urban Storm Drainage & Flood Embankment Protection - Jehanabad Sadar (Jehanabad),Bihar,Jehanabad,Jehanabad Sadar Sub-Division,Jehanabad Sadar,Urban Storm Drainage & Flood Embankment Protection,NCC Limited,"Er. Manoj Tiwary (Site Camp, Jehanabad Sadar)","Er. K. K. Jha (Div Office, Jehanabad)",2198.66,31,30,1685.54,69.3,0,0,3.2,127.1,96.8,-27.5,56.18,29.2,9.3
BHR_KAI_2026_0007,Railway Double Line & Track Electrification Work - Kaimur Sadar (Kaimur),Bihar,Kaimur,Kaimur Sadar Sub-Division,Kaimur Sadar,Railway Double Line & Track Electrification Work,GVR Infra Projects,"Er. S. N. Pandey (Site Camp, Kaimur Sadar)","Er. Rajeshwar Prasad (Div Office, Kaimur)",3591.42,24,30,4139.92,83.6,2,0,4.4,120.5,100.0,-16.4,138.0,30.0,20.5
BHR_SHE_2026_0008,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Sheohar Sadar (Sheohar),Bihar,Sheohar,Sheohar Sadar Sub-Division,Sheohar Sadar,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,L&T Infrastructure Limited,"Er. A. K. Mishra (Site Camp, Sheohar Sadar)","Er. M. P. Sinha (Div Office, Sheohar)",1708.94,30,6,140.26,7.1,2,0,9.1,117.7,20.0,-12.9,23.38,45.0,26.1
BHR_GOP_2026_0009,Railway Overbridge (ROB) & Flyover Construction - Gopalganj Rural Area (Gopalganj),Bihar,Gopalganj,Gopalganj Rural Sub-Division,Gopalganj Rural Area,Railway Overbridge (ROB) & Flyover Construction,NCC Limited,"Er. S. N. Pandey (Site Camp, Gopalganj Rural Area)","Er. K. K. Jha (Div Office, Gopalganj)",2749.79,54,52,2721.93,98.0,2,0,7.1,128.4,96.3,1.7,52.34,25.5,21.2
BHR_GAY_2026_0010,National/State Highway 4-Lane Road Work - Mohra (Gaya),Bihar,Gaya,Neemchak Bathani Sub-Div,Mohra,National/State Highway 4-Lane Road Work,Afcons Infrastructure,"Er. S. N. Pandey (Site Camp, Mohra)","Er. K. K. Jha (Div Office, Gaya)",2807.99,41,8,534.21,15.5,1,2,5.1,113.6,19.5,-4.0,66.78,47.1,26.0
BHR_PAT_2026_0011,Railway Double Line & Track Electrification Work - Mokama (Patna),Bihar,Patna,Barh Sub-Div,Mokama,Railway Double Line & Track Electrification Work,L&T Infrastructure Limited,"Er. R. K. Singh (Site Camp, Mokama)","Er. Rajeshwar Prasad (Div Office, Patna)",2504.88,58,36,1133.78,39.0,4,1,4.5,113.2,62.1,-23.1,31.49,50.0,35.2
BHR_GOP_2026_0012,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply - Gopalganj Sadar (Gopalganj),Bihar,Gopalganj,Gopalganj Sadar Sub-Division,Gopalganj Sadar,Har Ghar Nal Ka Jal Mega Overhead Water Tank & Supply,Afcons Infrastructure,"Er. Manoj Tiwary (Site Camp, Gopalganj Sadar)","Er. Rajeshwar Prasad (Div Office, Gopalganj)",838.78,58,38,627.06,55.1,8,2,9.3,116.5,65.5,-10.5,16.5,82.3,54.3
BHR_SUP_2026_0013,National/State Highway 4-Lane Road Work - Supaul Central (Supaul),Bihar,Supaul,Supaul Sadar Sub-Division,Supaul Central,National/State Highway 4-Lane Road Work,NCC Limited,"Er. Vikash Kumar (Site Camp, Supaul Central)","Er. K. K. Jha (Div Office, Supaul)",1952.71,37,11,682.38,28.1,1,0,4.7,115.3,29.7,-1.7,62.03,20.5,12.5
